,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°012,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°12 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,,DENOMINACIONES,,,,
,,,,,INGRESOS,0,0,30,30
,,06,,C,RENTAS DE LA PROPIEDAD,0 ,0 ,10,10 
,,,99,C,Otras Rentas de la Propiedad,0 ,0 ,10,10 
,,08,,C,OTROS INGRESOS CORRIENTES ,0 ,0 ,20,20 
,,,02,C,Multas y Sanciones Pecunarias,0,0,10,10
,,,99,C,Otros Ingresos,0,0,10,10
,,,,,GASTOS,"500,000","500,000",30,"500,030"
,,22,,,BIENES Y SERVICIOS DE CONSUMO,"500,000 ","500,000 ",30,"500,030 "
