,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°007,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°7 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,,,GASTOS,"77,140,691 ","74,826,470 ","-36,000 ","74,790,470 "
,,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"77,140,691 ","74,826,470 ","-36,000 ","74,790,470 "
,,,03,,De Otras Entidades Públicas,"77,140,691 ","74,826,470 ","-36,000 ","74,790,470 "
,,32,,,PRÉSTAMOS,"794,697 ","794,697 ","-36,000 ","758,697 "
,,,06,,Anticipos a Contratistas,"794,697 ","794,697 ","-36,000 ","758,697 "
