,,,,,,,,,,,
,,,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°02,,,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°2 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$,
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,,
,,,,,,GASTOS,"25,645,972 ","24,917,327 ",0 ,"24,917,327 ",
,,24,,,,TRANSFERENCIAS CORRIENTES,"2,347,619 ","1,618,974 ","1,481,242 ","3,100,216 ",
,,,01,,,Al sector privado,"237,217","237,217","237,216",1,
,,,,239,,Fundación Desafío Levantemos Chile - Apoyo a Feriantes de la Región de Ñuble (40038746-0),"37,131","37,131","37,131",0 ,
,,,,264,,Instituto Investigaciones Agropecuarias - Bioinoculante para Producción Sustentable de Trigo (40050689-0),"100,000 ","100,000 ","100,000",0 ,
,,,,270,,INFOR - Transferencia Flora Melífera para Mejorar el Negocio Apícola de la Región de Ñuble (40023891-0),"100,086 ","100,086 ","100,085",1 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,03,,,A Otras Entidades Públicas,"2,110,402 ","1,381,757 ","1,330,714 ","2,712,471 ",
,,,,006,,Subsecretaria del Trabajo - PROEMPLEO,"900,000 ","171,355 ","171,355",0 ,
,,,,429,,Universidad de Chile -   Transferencia Sello de Origen para Maíz Amarillo y Uva Corinta (40035912-0),"100,000 ","100,000 ","99,999",1 ,
,,,,476,,Universidad del Bio Bio - Transferencia Certificación y Sello de Calidad para Vinos de la Región de Ñuble (40053301-0),"200,000 ","200,000 ","199,999",1 ,
,,,,477,,CORFO - Transferencia Reactivación y Transformación económica de las Mi Pymes de la Región de Ñuble (40048669-0),"120,000 ","120,000 ","119,999",1 ,
,,,,479,,SERCOTEC - Transferencia Programas Especiales de Fomento Productivo para la Región de Ñuble (40056384-0),"250,000 ","250,000 ","249,999",1 ,
,,,,480,,"Centros Integrales de la Mujer, Región de Ñuble- Municipalidades","250,000 ","250,000 ","125,000","125,000 ",
,,,,481,,Universidad de Talca - Transferencia Sistema de Diagnóstico y Recomendación Nutricional Integrada en Avellano Europeo (40058771-0),"100,402 ","100,402 ","100,401",1 ,
,,,,483,,Universidad del Bio Bio - Transferencia Industrialización de la Vivienda en Madera de la Región Ñuble (40058700-0),"100,000 ","100,000 ","99,999",1 ,
,,,,484,,Universidad de Chile - Transferencia la Paja de Trigo del Valle del Itata: Una Oportunidad de Desarrollo de Economía Circular y Sostenible (40057900-0),"90,000 ","90,000 ","89,999",1 ,
,,,,491,C,Pro Chile - Transferencia Promoción de Exportaciones Multisectorial Ñuble (40067558-0),0 ,0 ,"728,368","728,368 ",FONDO PARA LA PRODUCTIVIDAD
,,,,492,C,Servicio de Salud Ñuble - Transferencia para Reducción Listas de Espera Quirúrgica y Especialidad de la Región de Ñuble (40064354-0),0 ,0 ,"1,859,096","1,859,096 ",
,,,08,,C,A Instituciones Privadas Ejecutoras de Políticas Públicas,0 ,0 ,"387,744","387,744 ",
,,,,279,C,Fundación Mi Tea - Transferencia Construyendo Puentes de Apoyo para el Autismo de la Región de Ñuble (40068588-0),0 ,0 ,"387,744 ","387,744 ",
,,29,,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,"9,461,988 ","9,461,988 ","247,126 ","9,709,114 ",
,,,04,,C,Mobiliario y Otros,0 ,0 ,"17,000","17,000 ",
,,,05,,,Máquinas y Equipos,"9,361,988 ","9,361,988 ","187,126","9,549,114 ",
,,,06,,,Equipos Informaticos,"100,000 ","100,000 ","43,000","143,000 ",
,,33,,,,TRANSFERENCIAS DE CAPITAL ,"13,836,365 ","13,836,365 ","-1,728,368 ","12,107,997 ",
,,,03,,,A otras entidades públicas,"13,836,365 ","13,836,365 ","-1,728,368 ","12,107,997 ",
,,,,249,C,"Universidad del Bio Bio - Transferencia Trazabilidad y Validación de Vinos Valle del Itata, Región de Ñuble (40067308-0)",0 ,0 ,"241,250 ","241,250 ",FONDO PARA LA PRODUCTIVIDAD
,,,,489,,"Comisión Nacional de Riego - Transferencia para el Fomento al Riego, Región de Ñuble (40048507-0)","1,312,900 ","1,312,900 ","1,000,000","312,900 ",
,,,,490,C,INDESPA - Transferencia Fomento y Desarrollo Productivo Pesca Artesanal de la Región de Ñuble (40065365-0),0 ,0 ,"200,000","200,000 ",FONDO PARA LA PRODUCTIVIDAD
,,,,999,,Provisión Fondo para la Productividad y el Desarrollo (Sin Distribuir),"12,523,465 ","12,523,465 ","1,169,618","11,353,847 ",
