,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°06,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°6 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,,,GASTOS,"36,540,494 ","36,727,620 ",0,"36,727,620 "
,,24,,,TRANSFERENCIAS CORRIENTES,"8,109,874 ","8,109,874 ","1,675,567","6,434,307 "
,,,01,,Al sector privado,"6,359,874","6,359,874","557,000","5,802,874"
,,,,300,Concurso de Vinculación con la Comunidad ,"6,359,874","6,359,874","557,000","5,802,874 "
,,,03,,A Otras Entidades Públicas,"1,750,000 ","1,750,000 ","1,118,567","631,433 "
,,,,418,DOH - Asistencia Técnica para Comités o Cooperativas para Proyectos de APR (40023687-0),"1,000,000 ","1,000,000 ","500,000","500,000 "
,,,,436,SEREMI de Bienes Nacionales - Saneamiento de Títulos de Dominio en las 21 Comunas de la Región de Ñuble (40024729-0),"250,000 ","250,000 ","118,567","131,433 "
,,,,485,CONAF - Transferencia Gestores de la Prevención ante Incendios Forestales de la Región de Ñuble (40059053-0),"500,000 ","500,000 ","500,000",0 
,,29,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,"15,716,181","15,903,307","4,929,453","20,832,760"
,,,03,,Vehículos ,"6,354,193 ","6,354,193 ","2,751,416","9,105,609 "
,,,05,,Máquinas y Equipos,"9,361,988 ","9,549,114 ","2,178,037","11,727,151 "
,,31,,,INICIATIVAS DE INVERSIÓN,"1,064,439","1,064,439","800,000","264,439"
,,,01,,Estudios Básicos,"1,064,439 ","1,064,439 ","800,000","264,439 "
,,32,,,PRÉSTAMOS ,"1,400,000 ","1,400,000 ","204,886","1,195,114 "
,,,06,,Por Anticipos a Contratistas,"1,400,000 ","1,400,000 ","204,886","1,195,114 "
,,33,,,TRANSFERENCIAS DE CAPITAL ,"10,250,000 ","10,250,000 ","2,249,000","8,001,000 "
,,,01,,Al Sector Privado,"1,500,000 ","1,500,000 ","1,499,000","1,000 "
,,,,001,Junta Nacional de Cuerpos de Bomberos de Chile ,"1,500,000 ","1,500,000 ","1,499,000","1,000 "
,,,03,,A otras entidades públicas,"8,750,000 ","8,750,000 ","750,000","8,000,000 "
,,,,125,Municipalidades (Fondo Regional de Iniciativa Local) ,"8,500,000 ","8,500,000 ","500,000","8,000,000 "
,,,,420,Seremi de Medio Ambiente - Recambio de Calefactores Chillán y Chillán Viejo (40020934-0),"250,000 ","250,000 ","250,000",0 
