,,,,,,,,,,
,,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°08,,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°8 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,GASTOS,"6,859,874 ","6,302,874 ",0 ,"6,302,874 "
,,24,,,,TRANSFERENCIAS CORRIENTES,"6,859,874 ","6,302,874 ",0 ,"6,302,874 "
,,,01,,,Al sector privado,"6,359,874","5,802,874","250,000","5,552,874"
,,,,300,,Concurso de Vinculación con la Comunidad ,"6,359,874","5,802,874","250,000","5,552,874 "
,,,03,,,A Otras Entidades Públicas,"500,000 ","500,000 ","250,000 ","750,000 "
,,,,300,,Concurso de Vinculación con la Comunidad ,"500,000 ","500,000 ","250,000","750,000 "
