,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°02,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°1 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"84,893,917 ","84,893,917 ","728,645","84,165,272 "
,,,03,,De Otras Entidades Públicas,"84,893,917 ","84,893,917 ","728,645","84,165,272 "
,,,,,,,,,
,,24,,,TRANSFERENCIAS CORRIENTES,"900,000 ","900,000 ","728,645","171,355 "
,,,03,,A Otras Entidades Públicas,"900,000 ","900,000 ","728,645","171,355 "
,,,,006,Subsecretaria del Trabajo - PROEMPLEO,"900,000 ","900,000 ","728,645","171,355 "
