,,,,,,,,,,
,,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°005,,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°5 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,INGRESOS,0 ,0 ,"944,761 ","944,761 "
,,15,,,C,SALDO INICIAL DE CAJA ,0 ,0 ,"944,761 ","944,761 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°4 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,GASTOS,"21,861,200 ",#REF!,"944,761 ",#REF!
,,31,,,,INICIATIVAS DE INVERSIÓN,"21,861,200 ",#REF!,"894,036 ",#REF!
,,,01,,,Estudios Básicos ,"673,103 ",#REF!,"150,000 ",#REF!
,,,02,,,Proyectos,"21,188,097 ",#REF!,"744,036 ",#REF!
,,34,,,,TRANSFERENCIAS DE CAPITAL ,0 ,0 ,"50,725 ","50,725 "
,,,07,,C,A Otras Entidades Públicas ,0 ,0 ,"50,725 ","50,725 "
